epoch: 0 || Train_reward: -64.81135874431692 || Final_Dis_Target:0.5818246049628325 || Continuity_Cost:0.20687484777537143 || Number_of_steps:100
epoch: 1 || Train_reward: -69.81768091004645 || Final_Dis_Target:0.662123426614458 || Continuity_Cost:0.20377045499851149 || Number_of_steps:100
epoch: 2 || Train_reward: -69.58202511797573 || Final_Dis_Target:0.6765992429163518 || Continuity_Cost:0.20539526683351306 || Number_of_steps:100
epoch: 3 || Train_reward: -41.65265802161444 || Final_Dis_Target:0.2541812957534074 || Continuity_Cost:0.22506006366575868 || Number_of_steps:100
epoch: 4 || Train_reward: -67.18927339160567 || Final_Dis_Target:0.6128213229869632 || Continuity_Cost:0.2123807434687265 || Number_of_steps:100
epoch: 5 || Train_reward: -74.04151574516386 || Final_Dis_Target:0.7093081232003564 || Continuity_Cost:0.20167549407935273 || Number_of_steps:100
epoch: 6 || Train_reward: -69.6871379237837 || Final_Dis_Target:0.6371781197388244 || Continuity_Cost:0.22096158371378635 || Number_of_steps:100
epoch: 7 || Train_reward: -68.06336948125167 || Final_Dis_Target:0.6112695949810746 || Continuity_Cost:0.2227661276455955 || Number_of_steps:100
epoch: 8 || Train_reward: -68.35243998275979 || Final_Dis_Target:0.6228066596657574 || Continuity_Cost:0.21344879080079673 || Number_of_steps:100
epoch: 9 || Train_reward: -69.95680722184346 || Final_Dis_Target:0.6861831077774577 || Continuity_Cost:0.20687646813998292 || Number_of_steps:100
epoch: 10 || Train_reward: -68.13454446180144 || Final_Dis_Target:0.5226767872383863 || Continuity_Cost:0.15267178643834411 || Number_of_steps:100
epoch: 11 || Train_reward: -78.22635478027152 || Final_Dis_Target:0.6425138738485018 || Continuity_Cost:0.09917153145632138 || Number_of_steps:100
epoch: 12 || Train_reward: -41.19828898235418 || Final_Dis_Target:0.368263233540997 || Continuity_Cost:0.10177988031834252 || Number_of_steps:76
epoch: 13 || Train_reward: -3.2534714885466594 || Final_Dis_Target:0.45520363692419147 || Continuity_Cost:0.18353394864495537 || Number_of_steps:6
epoch: 14 || Train_reward: -4.178206642214983 || Final_Dis_Target:0.6305386914745914 || Continuity_Cost:0.3681975785862046 || Number_of_steps:7
epoch: 15 || Train_reward: -4.159826020513592 || Final_Dis_Target:0.6451473890518813 || Continuity_Cost:0.27982229513931006 || Number_of_steps:7
epoch: 16 || Train_reward: -3.538079715715222 || Final_Dis_Target:0.4762923157977919 || Continuity_Cost:0.16043638199812393 || Number_of_steps:7
epoch: 17 || Train_reward: -3.356422473726364 || Final_Dis_Target:0.4338146486765389 || Continuity_Cost:0.20881541259756192 || Number_of_steps:7
epoch: 18 || Train_reward: -3.2157108717464338 || Final_Dis_Target:0.4009576074224498 || Continuity_Cost:0.19142219540534564 || Number_of_steps:7
epoch: 19 || Train_reward: -3.3511846165834 || Final_Dis_Target:0.33740092485351164 || Continuity_Cost:0.12047313451117672 || Number_of_steps:8
epoch: 20 || Train_reward: -5.200047023999177 || Final_Dis_Target:0.2163474994684947 || Continuity_Cost:0.2024394019566358 || Number_of_steps:14
epoch: 21 || Train_reward: -2.79690827043732 || Final_Dis_Target:0.4355429724852756 || Continuity_Cost:0.18656766977411685 || Number_of_steps:6
epoch: 22 || Train_reward: -2.914480486728363 || Final_Dis_Target:0.47349834084286646 || Continuity_Cost:0.07645949663593618 || Number_of_steps:6
