epoch: 0 || Train_reward: -31.640222798080597 || Final_Dis_Target:0.10166869166914584 || Continuity_Cost:0.008850818267092109 || Number_of_steps:100
epoch: 1 || Train_reward: -31.036811666924624 || Final_Dis_Target:0.09776060010731326 || Continuity_Cost:0.009142019553110003 || Number_of_steps:100
epoch: 2 || Train_reward: -30.58987401866402 || Final_Dis_Target:0.09496293857512292 || Continuity_Cost:0.009296148346038535 || Number_of_steps:100
epoch: 3 || Train_reward: -31.982823006815448 || Final_Dis_Target:0.10387629888968654 || Continuity_Cost:0.008905451250029728 || Number_of_steps:100
epoch: 4 || Train_reward: -31.295006673564284 || Final_Dis_Target:0.0993902777014478 || Continuity_Cost:0.009698372014099732 || Number_of_steps:100
epoch: 5 || Train_reward: -31.43981022401609 || Final_Dis_Target:0.1003420494774372 || Continuity_Cost:0.01107848365791142 || Number_of_steps:100
epoch: 6 || Train_reward: -31.05665338090622 || Final_Dis_Target:0.09791539666876597 || Continuity_Cost:0.010931105498457327 || Number_of_steps:100
epoch: 7 || Train_reward: -31.11778305512768 || Final_Dis_Target:0.09831039409319893 || Continuity_Cost:0.010486284008948132 || Number_of_steps:100
epoch: 8 || Train_reward: -31.33015039280576 || Final_Dis_Target:0.09965279535746005 || Continuity_Cost:0.00996312519419007 || Number_of_steps:100
epoch: 9 || Train_reward: -31.739176226731434 || Final_Dis_Target:0.1022859740921109 || Continuity_Cost:0.010656721860868856 || Number_of_steps:100
epoch: 10 || Train_reward: -24.593277731330584 || Final_Dis_Target:0.053969022413935336 || Continuity_Cost:0.009821189451031387 || Number_of_steps:100
epoch: 11 || Train_reward: -37.06711920964187 || Final_Dis_Target:0.142452176196765 || Continuity_Cost:0.008641395106678829 || Number_of_steps:100
epoch: 12 || Train_reward: -27.363814200839734 || Final_Dis_Target:0.07546889199758983 || Continuity_Cost:0.008637920836918056 || Number_of_steps:100
epoch: 13 || Train_reward: -28.80231053014711 || Final_Dis_Target:0.08313876069853615 || Continuity_Cost:0.005508762114914134 || Number_of_steps:100
epoch: 14 || Train_reward: -31.81384773825575 || Final_Dis_Target:0.10259952136732058 || Continuity_Cost:0.0045708085963269696 || Number_of_steps:100
epoch: 15 || Train_reward: -34.89089139373334 || Final_Dis_Target:0.12405018644069905 || Continuity_Cost:0.002122761361533776 || Number_of_steps:100
epoch: 16 || Train_reward: -23.858833671201555 || Final_Dis_Target:0.05703913876584583 || Continuity_Cost:0.003954991188948043 || Number_of_steps:100
epoch: 17 || Train_reward: -25.347150681788058 || Final_Dis_Target:0.06471882046822823 || Continuity_Cost:0.0033390904718544334 || Number_of_steps:100
epoch: 18 || Train_reward: -24.711844165233412 || Final_Dis_Target:0.06178719685589095 || Continuity_Cost:0.004198885289952159 || Number_of_steps:100
epoch: 19 || Train_reward: -29.800259746166255 || Final_Dis_Target:0.09060866043659976 || Continuity_Cost:0.0021440533600980416 || Number_of_steps:100
epoch: 20 || Train_reward: -29.8169825238167 || Final_Dis_Target:0.09071038126982295 || Continuity_Cost:0.002170403240597807 || Number_of_steps:100
epoch: 21 || Train_reward: -29.818958355012008 || Final_Dis_Target:0.0907224035687811 || Continuity_Cost:0.0023074104319675826 || Number_of_steps:100
epoch: 22 || Train_reward: -29.59034817600738 || Final_Dis_Target:0.08933667025579428 || Continuity_Cost:0.007337130227824673 || Number_of_steps:100
epoch: 23 || Train_reward: -29.058914082782522 || Final_Dis_Target:0.08615656439859949 || Continuity_Cost:0.014197723066899925 || Number_of_steps:100
epoch: 24 || Train_reward: -28.88849529964008 || Final_Dis_Target:0.08514898078537458 || Continuity_Cost:0.013469206169247627 || Number_of_steps:100
epoch: 25 || Train_reward: -28.34420353889395 || Final_Dis_Target:0.08197060241342419 || Continuity_Cost:0.016247437451966107 || Number_of_steps:100
epoch: 26 || Train_reward: -28.197678632298768 || Final_Dis_Target:0.08112530152539142 || Continuity_Cost:0.016429634706582874 || Number_of_steps:100
epoch: 27 || Train_reward: -28.103188300446007 || Final_Dis_Target:0.08058251123865276 || Continuity_Cost:0.020832178415730596 || Number_of_steps:100
epoch: 28 || Train_reward: -27.744748975547445 || Final_Dis_Target:0.07854005670001275 || Continuity_Cost:0.01639512920519337 || Number_of_steps:100
epoch: 29 || Train_reward: -27.849203622642264 || Final_Dis_Target:0.07913255202686992 || Continuity_Cost:0.02005484129767865 || Number_of_steps:100
epoch: 30 || Train_reward: -27.338802148657486 || Final_Dis_Target:0.07625855554766094 || Continuity_Cost:0.02079334808513522 || Number_of_steps:100
epoch: 31 || Train_reward: -27.24111494679194 || Final_Dis_Target:0.07571463196722615 || Continuity_Cost:0.022638063819613308 || Number_of_steps:100
epoch: 32 || Train_reward: -27.34207715179641 || Final_Dis_Target:0.07627682715760607 || Continuity_Cost:0.019078250625170767 || Number_of_steps:100
epoch: 33 || Train_reward: -27.38812120449094 || Final_Dis_Target:0.07653394379267453 || Continuity_Cost:0.028667430160567164 || Number_of_steps:100
epoch: 34 || Train_reward: -27.321262224330727 || Final_Dis_Target:0.0761607355913281 || Continuity_Cost:0.03276409697718918 || Number_of_steps:100
epoch: 35 || Train_reward: -27.36028810641653 || Final_Dis_Target:0.0763784680406331 || Continuity_Cost:0.027080770814791322 || Number_of_steps:100
epoch: 36 || Train_reward: -27.197180422981894 || Final_Dis_Target:0.07547052575700663 || Continuity_Cost:0.02822061942424625 || Number_of_steps:100
epoch: 37 || Train_reward: -27.290349134418562 || Final_Dis_Target:0.07598848646858244 || Continuity_Cost:0.02160671429010108 || Number_of_steps:100
epoch: 38 || Train_reward: -27.076761196152937 || Final_Dis_Target:0.07480369318167504 || Continuity_Cost:0.029904680559411645 || Number_of_steps:100
epoch: 39 || Train_reward: -27.42374367492547 || Final_Dis_Target:0.07673316163123614 || Continuity_Cost:0.029144203290343285 || Number_of_steps:100
epoch: 40 || Train_reward: -26.933867558889755 || Final_Dis_Target:0.07401624171073894 || Continuity_Cost:0.03261438978370279 || Number_of_steps:100
epoch: 41 || Train_reward: -27.45050496185529 || Final_Dis_Target:0.07688299384362209 || Continuity_Cost:0.030612372211180627 || Number_of_steps:100
epoch: 42 || Train_reward: -27.1962818810583 || Final_Dis_Target:0.07546553904233588 || Continuity_Cost:0.03222645609639585 || Number_of_steps:100
epoch: 43 || Train_reward: -27.409919488286764 || Final_Dis_Target:0.07665581944231117 || Continuity_Cost:0.02700850018300116 || Number_of_steps:100
epoch: 44 || Train_reward: -27.326515288484696 || Final_Dis_Target:0.0761900252843487 || Continuity_Cost:0.02766618854366243 || Number_of_steps:100
epoch: 45 || Train_reward: -27.33417193852187 || Final_Dis_Target:0.07623272682020062 || Continuity_Cost:0.03348221071064472 || Number_of_steps:100
epoch: 46 || Train_reward: -26.905428082573973 || Final_Dis_Target:0.0738600224337097 || Continuity_Cost:0.03177211037836969 || Number_of_steps:100
epoch: 47 || Train_reward: -27.060982649938126 || Final_Dis_Target:0.0747165372900951 || Continuity_Cost:0.032196767278946936 || Number_of_steps:100
epoch: 48 || Train_reward: -26.971166904352717 || Final_Dis_Target:0.07422139008086599 || Continuity_Cost:0.037625376717187464 || Number_of_steps:100
epoch: 49 || Train_reward: -12.903202189057973 || Final_Dis_Target:0.016253680499457974 || Continuity_Cost:0.04012307617813349 || Number_of_steps:100
epoch: 50 || Train_reward: -12.57339337642314 || Final_Dis_Target:0.015760276776032915 || Continuity_Cost:0.026782520581036806 || Number_of_steps:100
epoch: 51 || Train_reward: -12.54190360947826 || Final_Dis_Target:0.015683779343289905 || Continuity_Cost:0.021128851221874356 || Number_of_steps:100
epoch: 52 || Train_reward: -15.855264628526644 || Final_Dis_Target:0.016017489019641153 || Continuity_Cost:0.013350497465580702 || Number_of_steps:100
epoch: 53 || Train_reward: -27.099231323064778 || Final_Dis_Target:0.07492790500657097 || Continuity_Cost:0.011689030361594632 || Number_of_steps:100
epoch: 54 || Train_reward: -27.280333253940903 || Final_Dis_Target:0.0759327193598367 || Continuity_Cost:0.007890363485785201 || Number_of_steps:100
epoch: 55 || Train_reward: -12.585474193077438 || Final_Dis_Target:0.01579435189478641 || Continuity_Cost:0.01364916970487684 || Number_of_steps:100
epoch: 56 || Train_reward: -12.457593736757133 || Final_Dis_Target:0.01547709168902277 || Continuity_Cost:0.015867654292378575 || Number_of_steps:100
epoch: 57 || Train_reward: -12.32457211013921 || Final_Dis_Target:0.01514459411293672 || Continuity_Cost:0.0019651304683065973 || Number_of_steps:100
epoch: 58 || Train_reward: -12.305993452843193 || Final_Dis_Target:0.015098369610651887 || Continuity_Cost:0.0 || Number_of_steps:100
epoch: 59 || Train_reward: -12.323741134566172 || Final_Dis_Target:0.01514252300144559 || Continuity_Cost:0.0 || Number_of_steps:100
epoch: 60 || Train_reward: -12.313192207195721 || Final_Dis_Target:0.015116433670295333 || Continuity_Cost:0.0 || Number_of_steps:100
epoch: 61 || Train_reward: -12.320566623394647 || Final_Dis_Target:0.015134675179512667 || Continuity_Cost:0.0 || Number_of_steps:100
epoch: 62 || Train_reward: -12.429276217583062 || Final_Dis_Target:0.015401796634488516 || Continuity_Cost:0.0002629391929076519 || Number_of_steps:100
epoch: 63 || Train_reward: -14.2033360747766 || Final_Dis_Target:0.020156657835880512 || Continuity_Cost:0.0017532591300550848 || Number_of_steps:100
epoch: 64 || Train_reward: -19.232816894314183 || Final_Dis_Target:0.03722145672489185 || Continuity_Cost:0.009255826444132254 || Number_of_steps:100
epoch: 65 || Train_reward: -24.221972217129327 || Final_Dis_Target:0.05940151164509822 || Continuity_Cost:0.029578330577351153 || Number_of_steps:100
epoch: 66 || Train_reward: -29.245986434509067 || Final_Dis_Target:0.08687253106127239 || Continuity_Cost:0.030687107937410474 || Number_of_steps:100
epoch: 67 || Train_reward: -22.550493456327498 || Final_Dis_Target:0.05136432235941905 || Continuity_Cost:0.013498980842996389 || Number_of_steps:100
epoch: 68 || Train_reward: -17.272268677271505 || Final_Dis_Target:0.029954671863998118 || Continuity_Cost:0.007864401413826272 || Number_of_steps:100
epoch: 69 || Train_reward: -15.295993290918817 || Final_Dis_Target:0.023438106664947337 || Continuity_Cost:0.00458752219856251 || Number_of_steps:100
epoch: 70 || Train_reward: -13.893866261936594 || Final_Dis_Target:0.019320130209331026 || Continuity_Cost:0.001232269460160751 || Number_of_steps:100
epoch: 71 || Train_reward: -12.317185239384717 || Final_Dis_Target:0.015126285599194014 || Continuity_Cost:0.03098385059274733 || Number_of_steps:100
