epoch: 0 || Test_Reward: 29.33906602718151 || Final_Distance_to_Target: 0.008472667475785976 || Continuity_Cost: 0.01125652706832625 || Episode_Timesteps: 2
epoch: 1 || Test_Reward: 29.345374804098643 || Final_Distance_to_Target: 0.00784059093665596 || Continuity_Cost: 0.09507692884653807 || Episode_Timesteps: 2
epoch: 2 || Test_Reward: 29.331190442257437 || Final_Distance_to_Target: 0.009731823043276312 || Continuity_Cost: 0.03207257832400501 || Episode_Timesteps: 2
epoch: 3 || Test_Reward: 29.341592963573472 || Final_Distance_to_Target: 0.007833107806427481 || Continuity_Cost: 0.024433425278402865 || Episode_Timesteps: 2
epoch: 4 || Test_Reward: 29.34004236903404 || Final_Distance_to_Target: 0.008363424180558408 || Continuity_Cost: 0.015889175119809806 || Episode_Timesteps: 2
epoch: 5 || Test_Reward: 29.346391819446993 || Final_Distance_to_Target: 0.007649558864245076 || Continuity_Cost: 0.04916554898954928 || Episode_Timesteps: 2
epoch: 6 || Test_Reward: 29.346637202157847 || Final_Distance_to_Target: 0.007507437595529811 || Continuity_Cost: 0.0012754267117998097 || Episode_Timesteps: 2
epoch: 7 || Test_Reward: 29.34752141904797 || Final_Distance_to_Target: 0.007524433684777155 || Continuity_Cost: 0.03441978187765926 || Episode_Timesteps: 2
epoch: 8 || Test_Reward: -10.353759982393077 || Final_Distance_to_Target: 0.010576078386840113 || Continuity_Cost: 0.3629514016211033 || Episode_Timesteps: 100
epoch: 9 || Test_Reward: 29.347138547310305 || Final_Distance_to_Target: 0.0075488750518062035 || Continuity_Cost: 1.617798233155554e-05 || Episode_Timesteps: 2
epoch: 10 || Test_Reward: 29.34340742228765 || Final_Distance_to_Target: 0.008054444715774736 || Continuity_Cost: 0.06510253297165036 || Episode_Timesteps: 2
epoch: 11 || Test_Reward: 29.34228010831647 || Final_Distance_to_Target: 0.007925889108208272 || Continuity_Cost: 2.2291754930847674e-05 || Episode_Timesteps: 2
epoch: 12 || Test_Reward: 29.340200120303344 || Final_Distance_to_Target: 0.008021500391720409 || Continuity_Cost: 0.019662221893668175 || Episode_Timesteps: 2
epoch: 13 || Test_Reward: 29.34498014644218 || Final_Distance_to_Target: 0.00778821822261616 || Continuity_Cost: 0.03748100716620684 || Episode_Timesteps: 2
epoch: 14 || Test_Reward: 29.336413034067217 || Final_Distance_to_Target: 0.008771234876540376 || Continuity_Cost: 0.0027779695301433094 || Episode_Timesteps: 2
epoch: 15 || Test_Reward: 29.34185685665327 || Final_Distance_to_Target: 0.007936990485347226 || Continuity_Cost: 0.0007887910214776639 || Episode_Timesteps: 2
epoch: 16 || Test_Reward: 29.332734285884847 || Final_Distance_to_Target: 0.009151807527323008 || Continuity_Cost: 0.002763529664662201 || Episode_Timesteps: 2
epoch: 17 || Test_Reward: 29.331482365588265 || Final_Distance_to_Target: 0.00926398912153636 || Continuity_Cost: 0.008710019028512761 || Episode_Timesteps: 2
epoch: 18 || Test_Reward: 29.339396398953028 || Final_Distance_to_Target: 0.008154617057745853 || Continuity_Cost: 0.011090373300248757 || Episode_Timesteps: 2
epoch: 19 || Test_Reward: 29.34167578805841 || Final_Distance_to_Target: 0.008126033899607843 || Continuity_Cost: 0.01274823589483276 || Episode_Timesteps: 2
epoch: 20 || Test_Reward: 29.34405344026944 || Final_Distance_to_Target: 0.00804025419422009 || Continuity_Cost: 0.11485484428703785 || Episode_Timesteps: 2
epoch: 21 || Test_Reward: 29.33681497263932 || Final_Distance_to_Target: 0.008615215184502985 || Continuity_Cost: 0.00038101570680737495 || Episode_Timesteps: 2
epoch: 22 || Test_Reward: 29.334203302792343 || Final_Distance_to_Target: 0.00862860646888786 || Continuity_Cost: 0.06575249717570841 || Episode_Timesteps: 2
epoch: 23 || Test_Reward: -10.143908600132061 || Final_Distance_to_Target: 0.010144717642941043 || Continuity_Cost: 0.3792168805375695 || Episode_Timesteps: 100
epoch: 24 || Test_Reward: 29.32836960782488 || Final_Distance_to_Target: 0.009719852896446845 || Continuity_Cost: 0.008407982386415824 || Episode_Timesteps: 2
epoch: 25 || Test_Reward: 29.339576453421756 || Final_Distance_to_Target: 0.008568751774698949 || Continuity_Cost: 0.05848034634254873 || Episode_Timesteps: 2
epoch: 26 || Test_Reward: -10.451501947083413 || Final_Distance_to_Target: 0.010776236854066035 || Continuity_Cost: 0.4202985670417547 || Episode_Timesteps: 100
epoch: 27 || Test_Reward: 29.32878881245897 || Final_Distance_to_Target: 0.009900616844556391 || Continuity_Cost: 0.001908689046103973 || Episode_Timesteps: 2
epoch: 28 || Test_Reward: 29.338539383830927 || Final_Distance_to_Target: 0.00837445777870739 || Continuity_Cost: 0.00044694361349684186 || Episode_Timesteps: 2
epoch: 29 || Test_Reward: 29.33682083105163 || Final_Distance_to_Target: 0.008508673661141771 || Continuity_Cost: 0.009238605707651004 || Episode_Timesteps: 2
epoch: 30 || Test_Reward: 29.342251715482075 || Final_Distance_to_Target: 0.007547512545764312 || Continuity_Cost: 0.15968844527378678 || Episode_Timesteps: 2
epoch: 31 || Test_Reward: 29.332034717008586 || Final_Distance_to_Target: 0.009424618605681924 || Continuity_Cost: 0.002808628778439015 || Episode_Timesteps: 2
