epoch: 0 || Train_reward: -5.203999403187093 || Final_Dis_Target:0.8876820049925719 || Continuity_Cost:0.014758943871129304 || Number_of_steps:7
epoch: 1 || Train_reward: -5.204217066224112 || Final_Dis_Target:0.8877589644967758 || Continuity_Cost:0.014762079808861017 || Number_of_steps:7
epoch: 2 || Train_reward: -5.204869257790353 || Final_Dis_Target:0.8879927382398211 || Continuity_Cost:0.0147663289681077 || Number_of_steps:7
epoch: 3 || Train_reward: -5.204118699221333 || Final_Dis_Target:0.8877106614023852 || Continuity_Cost:0.014760771591681987 || Number_of_steps:7
epoch: 4 || Train_reward: -5.204027985855441 || Final_Dis_Target:0.8877108994538663 || Continuity_Cost:0.014756247401237488 || Number_of_steps:7
epoch: 5 || Train_reward: -5.204407645392443 || Final_Dis_Target:0.8877419615139667 || Continuity_Cost:0.014754409494344145 || Number_of_steps:7
epoch: 6 || Train_reward: -5.204302791908299 || Final_Dis_Target:0.8878019135270656 || Continuity_Cost:0.014761013153474778 || Number_of_steps:7
epoch: 7 || Train_reward: -5.204039849918347 || Final_Dis_Target:0.8876599899380655 || Continuity_Cost:0.014757737517356873 || Number_of_steps:7
epoch: 8 || Train_reward: -5.203420094013022 || Final_Dis_Target:0.8875337484947718 || Continuity_Cost:0.014752861170563847 || Number_of_steps:7
epoch: 9 || Train_reward: -5.203973440713028 || Final_Dis_Target:0.887697543985056 || Continuity_Cost:0.014759345503989607 || Number_of_steps:7
epoch: 10 || Train_reward: -5.202994018962607 || Final_Dis_Target:0.8873404402058346 || Continuity_Cost:0.014749928959645331 || Number_of_steps:7
epoch: 11 || Train_reward: -5.204550580374384 || Final_Dis_Target:0.8878390369347882 || Continuity_Cost:0.014766171807423234 || Number_of_steps:7
epoch: 12 || Train_reward: -5.203542189558971 || Final_Dis_Target:0.8876578738076487 || Continuity_Cost:0.0147553815622814 || Number_of_steps:7
epoch: 13 || Train_reward: -5.204300200934869 || Final_Dis_Target:0.8877839063864463 || Continuity_Cost:0.0147545404615812 || Number_of_steps:7
epoch: 14 || Train_reward: -5.204469537380699 || Final_Dis_Target:0.8877669488110083 || Continuity_Cost:0.01475920871598646 || Number_of_steps:7
epoch: 15 || Train_reward: -5.203698691443071 || Final_Dis_Target:0.8877006339706348 || Continuity_Cost:0.01475656172260642 || Number_of_steps:7
epoch: 16 || Train_reward: -5.2045038324102535 || Final_Dis_Target:0.8878035329116882 || Continuity_Cost:0.014758722682017833 || Number_of_steps:7
epoch: 17 || Train_reward: -5.20411591723836 || Final_Dis_Target:0.8876765932838122 || Continuity_Cost:0.014756842574570328 || Number_of_steps:7
epoch: 18 || Train_reward: -5.2047538254192425 || Final_Dis_Target:0.8879268409284911 || Continuity_Cost:0.01476418983656913 || Number_of_steps:7
epoch: 19 || Train_reward: -5.204040824817921 || Final_Dis_Target:0.8876954948650214 || Continuity_Cost:0.014762973296456039 || Number_of_steps:7
epoch: 20 || Train_reward: -5.20467488208774 || Final_Dis_Target:0.8879431794939373 || Continuity_Cost:0.014755004667676985 || Number_of_steps:7
epoch: 21 || Train_reward: -5.203838027195234 || Final_Dis_Target:0.8877098324846988 || Continuity_Cost:0.014754528820049018 || Number_of_steps:7
epoch: 22 || Train_reward: -5.2046118710483515 || Final_Dis_Target:0.8878245724710718 || Continuity_Cost:0.014760914200451225 || Number_of_steps:7
epoch: 23 || Train_reward: -5.204486806311511 || Final_Dis_Target:0.8877670965702501 || Continuity_Cost:0.01475055469200015 || Number_of_steps:7
epoch: 24 || Train_reward: -5.2037788798654345 || Final_Dis_Target:0.8876405913189949 || Continuity_Cost:0.014748945250175893 || Number_of_steps:7
epoch: 25 || Train_reward: -5.204178800446984 || Final_Dis_Target:0.8877316586119732 || Continuity_Cost:0.014758021279703826 || Number_of_steps:7
epoch: 26 || Train_reward: -5.204389810719873 || Final_Dis_Target:0.8877326788395863 || Continuity_Cost:0.01476059842389077 || Number_of_steps:7
epoch: 27 || Train_reward: -5.203867551855034 || Final_Dis_Target:0.8876263309903244 || Continuity_Cost:0.014752760762348771 || Number_of_steps:7
epoch: 28 || Train_reward: -5.20443376173107 || Final_Dis_Target:0.8878531033610088 || Continuity_Cost:0.01475904427934438 || Number_of_steps:7
epoch: 29 || Train_reward: -5.203894195223554 || Final_Dis_Target:0.8877114372017011 || Continuity_Cost:0.014753676077816635 || Number_of_steps:7
epoch: 30 || Train_reward: -5.204152603715525 || Final_Dis_Target:0.8877640826679194 || Continuity_Cost:0.01475432509323582 || Number_of_steps:7
epoch: 31 || Train_reward: -5.2045580018539095 || Final_Dis_Target:0.8878159884186128 || Continuity_Cost:0.014761598140466958 || Number_of_steps:7
epoch: 32 || Train_reward: -5.20410295444068 || Final_Dis_Target:0.8876462409810526 || Continuity_Cost:0.014756763994228095 || Number_of_steps:7
epoch: 33 || Train_reward: -5.203730727489414 || Final_Dis_Target:0.8874996709918516 || Continuity_Cost:0.014756163000129163 || Number_of_steps:7
epoch: 34 || Train_reward: -5.203766794903471 || Final_Dis_Target:0.8876377278576644 || Continuity_Cost:0.014758780889678746 || Number_of_steps:7
epoch: 35 || Train_reward: -5.20434359973125 || Final_Dis_Target:0.8877930664866445 || Continuity_Cost:0.014757212193217129 || Number_of_steps:7
epoch: 36 || Train_reward: -5.205009039465635 || Final_Dis_Target:0.8880117365918206 || Continuity_Cost:0.014759156329091638 || Number_of_steps:7
epoch: 37 || Train_reward: -5.204348687145387 || Final_Dis_Target:0.8878104754678681 || Continuity_Cost:0.014760466001462191 || Number_of_steps:7
epoch: 38 || Train_reward: -5.203917043533524 || Final_Dis_Target:0.8876289300843168 || Continuity_Cost:0.014743157953489572 || Number_of_steps:7
epoch: 39 || Train_reward: -5.204275689806732 || Final_Dis_Target:0.8877505056474426 || Continuity_Cost:0.01475467870477587 || Number_of_steps:7
epoch: 40 || Train_reward: -5.204526289654655 || Final_Dis_Target:0.8878655747598493 || Continuity_Cost:0.014761272177565843 || Number_of_steps:7
epoch: 41 || Train_reward: -5.204359418277087 || Final_Dis_Target:0.887769246158556 || Continuity_Cost:0.014758358884137124 || Number_of_steps:7
epoch: 42 || Train_reward: -5.204524178802238 || Final_Dis_Target:0.887844648139734 || Continuity_Cost:0.014764406660106033 || Number_of_steps:7
epoch: 43 || Train_reward: -5.203445953089806 || Final_Dis_Target:0.8874611387417666 || Continuity_Cost:0.014759165060240775 || Number_of_steps:7
epoch: 44 || Train_reward: -5.204096152046171 || Final_Dis_Target:0.8877501706156741 || Continuity_Cost:0.014757706958334893 || Number_of_steps:7
epoch: 45 || Train_reward: -5.2038457531006985 || Final_Dis_Target:0.8875976672058338 || Continuity_Cost:0.014749038382433355 || Number_of_steps:7
epoch: 46 || Train_reward: -5.204453323245026 || Final_Dis_Target:0.8878028356180292 || Continuity_Cost:0.014755931624677032 || Number_of_steps:7
epoch: 47 || Train_reward: -5.204491867894367 || Final_Dis_Target:0.8878226427318724 || Continuity_Cost:0.014753923460375518 || Number_of_steps:7
epoch: 48 || Train_reward: -5.203948076318598 || Final_Dis_Target:0.887648208882224 || Continuity_Cost:0.014758012548554689 || Number_of_steps:7
epoch: 49 || Train_reward: -5.204845357880817 || Final_Dis_Target:0.8880014008457258 || Continuity_Cost:0.014756929886061698 || Number_of_steps:7
epoch: 50 || Train_reward: -5.204359212559639 || Final_Dis_Target:0.8877517532376308 || Continuity_Cost:0.014757686585653573 || Number_of_steps:7
epoch: 51 || Train_reward: -5.203924074207372 || Final_Dis_Target:0.88759742748581 || Continuity_Cost:0.014761026250198483 || Number_of_steps:7
epoch: 52 || Train_reward: -5.204502821842097 || Final_Dis_Target:0.887917312824667 || Continuity_Cost:0.014760989870410413 || Number_of_steps:7
