epoch: 0 || Test_Reward: -12.312178231404273 || Final_Distance_to_Target: 0.015113854813730548 || Continuity_Cost: 0.12750372989103198 || Episode_Timesteps: 100
epoch: 1 || Test_Reward: 29.347121909267408 || Final_Distance_to_Target: 0.008057302595065126 || Continuity_Cost: 0.8526748977601528 || Episode_Timesteps: 2
epoch: 2 || Test_Reward: 29.34761876373787 || Final_Distance_to_Target: 0.00815323665438471 || Continuity_Cost: 0.6199683528393507 || Episode_Timesteps: 2
epoch: 3 || Test_Reward: 29.350014322094502 || Final_Distance_to_Target: 0.007542989667036051 || Continuity_Cost: 0.3469019429758191 || Episode_Timesteps: 2
epoch: 4 || Test_Reward: 29.34881161148651 || Final_Distance_to_Target: 0.007910022880604542 || Continuity_Cost: 0.7323520258069038 || Episode_Timesteps: 2
epoch: 5 || Test_Reward: 29.336618041106185 || Final_Distance_to_Target: 0.009649125413654872 || Continuity_Cost: 0.6335694808512926 || Episode_Timesteps: 2
epoch: 6 || Test_Reward: 29.347569633575738 || Final_Distance_to_Target: 0.00755168924570858 || Continuity_Cost: 0.07031525601632893 || Episode_Timesteps: 2
epoch: 7 || Test_Reward: 29.348317621357985 || Final_Distance_to_Target: 0.007934616047622673 || Continuity_Cost: 0.25629375595599413 || Episode_Timesteps: 2
epoch: 8 || Test_Reward: 29.34483498171811 || Final_Distance_to_Target: 0.008393589491795637 || Continuity_Cost: 0.008524079021299258 || Episode_Timesteps: 2
epoch: 9 || Test_Reward: 29.35027142947717 || Final_Distance_to_Target: 0.007606101557345668 || Continuity_Cost: 0.4698460455983877 || Episode_Timesteps: 2
epoch: 10 || Test_Reward: 29.348045432093198 || Final_Distance_to_Target: 0.008055204824031473 || Continuity_Cost: 2.0187970250844955 || Episode_Timesteps: 2
epoch: 11 || Test_Reward: 29.339287720518858 || Final_Distance_to_Target: 0.009719948953497422 || Continuity_Cost: 0.26594249065965414 || Episode_Timesteps: 2
epoch: 12 || Test_Reward: 29.3486142382539 || Final_Distance_to_Target: 0.007492638412205499 || Continuity_Cost: 0.05305985105223954 || Episode_Timesteps: 2
