epoch: 0 || Test_Reward: 29.347495473320944 || Final_Distance_to_Target: 0.00816434863633136 || Continuity_Cost: 2.1081222221255302 || Episode_Timesteps: 2
epoch: 1 || Test_Reward: 29.34185770676895 || Final_Distance_to_Target: 0.00922431333147464 || Continuity_Cost: 0.3444776637479663 || Episode_Timesteps: 2
epoch: 2 || Test_Reward: 29.350302181191648 || Final_Distance_to_Target: 0.00764467187610574 || Continuity_Cost: 0.9359325282275677 || Episode_Timesteps: 2
epoch: 3 || Test_Reward: 29.350805880126508 || Final_Distance_to_Target: 0.007577978752318474 || Continuity_Cost: 1.542651280760765 || Episode_Timesteps: 2
epoch: 4 || Test_Reward: 29.350395462581385 || Final_Distance_to_Target: 0.007648745484107243 || Continuity_Cost: 0.9154440835118294 || Episode_Timesteps: 2
epoch: 5 || Test_Reward: 29.349208929445375 || Final_Distance_to_Target: 0.007842623863091277 || Continuity_Cost: 0.7749778684228659 || Episode_Timesteps: 2
epoch: 6 || Test_Reward: 29.339429428061916 || Final_Distance_to_Target: 0.009684103857263832 || Continuity_Cost: 0.2697810297831893 || Episode_Timesteps: 2
epoch: 7 || Test_Reward: 29.349051176195367 || Final_Distance_to_Target: 0.007884202858274824 || Continuity_Cost: 1.888863742351532 || Episode_Timesteps: 2
epoch: 8 || Test_Reward: 29.34221737003091 || Final_Distance_to_Target: 0.009167749591322678 || Continuity_Cost: 0.35419072955846786 || Episode_Timesteps: 2
epoch: 9 || Test_Reward: 29.34560474893846 || Final_Distance_to_Target: 0.008523725091590165 || Continuity_Cost: 0.4597337916493416 || Episode_Timesteps: 2
epoch: 10 || Test_Reward: 29.33824261986375 || Final_Distance_to_Target: 0.009811894796001589 || Continuity_Cost: 0.013115278852637857 || Episode_Timesteps: 2
epoch: 11 || Test_Reward: 29.34840651711767 || Final_Distance_to_Target: 0.007506487796409296 || Continuity_Cost: 0.03192354924976826 || Episode_Timesteps: 2
epoch: 12 || Test_Reward: 29.349096518078714 || Final_Distance_to_Target: 0.007556993612775515 || Continuity_Cost: 0.08907995070330799 || Episode_Timesteps: 2
epoch: 13 || Test_Reward: 29.3476161449771 || Final_Distance_to_Target: 0.007936721601889409 || Continuity_Cost: 0.7462794426828623 || Episode_Timesteps: 2
epoch: 14 || Test_Reward: 29.34915286968629 || Final_Distance_to_Target: 0.00759386547690066 || Continuity_Cost: 0.35993203055113554 || Episode_Timesteps: 2
epoch: 15 || Test_Reward: 29.34330076213249 || Final_Distance_to_Target: 0.00789578918185443 || Continuity_Cost: 0.008601621811976656 || Episode_Timesteps: 2
epoch: 16 || Test_Reward: -12.319616697292593 || Final_Distance_to_Target: 0.015132206167729811 || Continuity_Cost: 0.1820529461838305 || Episode_Timesteps: 100
epoch: 17 || Test_Reward: 29.350657114250723 || Final_Distance_to_Target: 0.007611229930019019 || Continuity_Cost: 1.6001470386981964 || Episode_Timesteps: 2
epoch: 18 || Test_Reward: 29.351096701275388 || Final_Distance_to_Target: 0.007502742854946462 || Continuity_Cost: 1.2631013058125973 || Episode_Timesteps: 2
