epoch: 0 || Train_reward: -23.74189793806973 || Final_Dis_Target:0.8208749115461188 || Continuity_Cost:10.166795551776886 || Number_of_steps:35
epoch: 1 || Train_reward: -8.866157091329345 || Final_Dis_Target:0.48013127315693305 || Continuity_Cost:10.6179378926754 || Number_of_steps:17
epoch: 2 || Train_reward: -18.302151533587896 || Final_Dis_Target:0.5367820223764369 || Continuity_Cost:9.831975400447845 || Number_of_steps:27
epoch: 3 || Train_reward: -16.118483439209793 || Final_Dis_Target:0.6031966236788543 || Continuity_Cost:10.047668218612671 || Number_of_steps:25
epoch: 4 || Train_reward: -69.3290589616344 || Final_Dis_Target:0.5593237793624422 || Continuity_Cost:11.265327781438828 || Number_of_steps:100
epoch: 5 || Train_reward: -58.05434656246823 || Final_Dis_Target:0.4763798437719571 || Continuity_Cost:10.876303166151047 || Number_of_steps:100
epoch: 6 || Train_reward: -20.383747349339963 || Final_Dis_Target:0.7372196681062768 || Continuity_Cost:9.84136313199997 || Number_of_steps:26
epoch: 7 || Train_reward: -62.907237611518326 || Final_Dis_Target:0.39063697617839876 || Continuity_Cost:11.175185441970825 || Number_of_steps:100
epoch: 8 || Train_reward: -7.796539930265002 || Final_Dis_Target:0.4791486773630497 || Continuity_Cost:12.28669285774231 || Number_of_steps:13
epoch: 9 || Train_reward: -1.6712275877107996 || Final_Dis_Target:0.7082884155345373 || Continuity_Cost:23.17422181367874 || Number_of_steps:2
epoch: 10 || Train_reward: -3.3309101221082336 || Final_Dis_Target:0.7001162814789703 || Continuity_Cost:14.69772607088089 || Number_of_steps:4
epoch: 11 || Train_reward: -1.6698702228762399 || Final_Dis_Target:0.7164610544543109 || Continuity_Cost:10.973607748746872 || Number_of_steps:2
epoch: 12 || Train_reward: -0.8360250523834831 || Final_Dis_Target:1.4262583169325695 || Continuity_Cost:nan || Number_of_steps:1
epoch: 13 || Train_reward: -0.8332056575867706 || Final_Dis_Target:1.4166547655027095 || Continuity_Cost:nan || Number_of_steps:1
epoch: 14 || Train_reward: -4.163877484846047 || Final_Dis_Target:0.849835693379654 || Continuity_Cost:8.883806318044662 || Number_of_steps:5
epoch: 15 || Train_reward: -4.166828785445101 || Final_Dis_Target:0.8524806676194076 || Continuity_Cost:11.982031166553497 || Number_of_steps:5
epoch: 16 || Train_reward: -1.656310920089386 || Final_Dis_Target:0.7012238556247867 || Continuity_Cost:7.288825511932373 || Number_of_steps:2
epoch: 17 || Train_reward: -0.8257695865925383 || Final_Dis_Target:1.3914812981149098 || Continuity_Cost:nan || Number_of_steps:1
epoch: 18 || Train_reward: -1.6611049411477374 || Final_Dis_Target:0.6996868657184226 || Continuity_Cost:4.319294914603233 || Number_of_steps:2
epoch: 19 || Train_reward: -0.8407954076150752 || Final_Dis_Target:1.4425812008297123 || Continuity_Cost:nan || Number_of_steps:1
epoch: 20 || Train_reward: -0.8286933721247675 || Final_Dis_Target:1.4013523211988945 || Continuity_Cost:nan || Number_of_steps:1
epoch: 21 || Train_reward: -0.8300909546773373 || Final_Dis_Target:1.4060830385412373 || Continuity_Cost:nan || Number_of_steps:1
epoch: 22 || Train_reward: -4.141243548350268 || Final_Dis_Target:0.8525711073834158 || Continuity_Cost:8.043130487203598 || Number_of_steps:5
epoch: 23 || Train_reward: -1.6714244600900825 || Final_Dis_Target:0.71261146845593 || Continuity_Cost:7.342297583818436 || Number_of_steps:2
epoch: 24 || Train_reward: -1.6698247797313073 || Final_Dis_Target:0.7084642104050133 || Continuity_Cost:5.773457512259483 || Number_of_steps:2
epoch: 25 || Train_reward: -3.33288018157555 || Final_Dis_Target:0.7053435924975042 || Continuity_Cost:10.319536924362183 || Number_of_steps:4
epoch: 26 || Train_reward: -3.3271074082772043 || Final_Dis_Target:0.7071428505416149 || Continuity_Cost:11.945533752441406 || Number_of_steps:4
epoch: 27 || Train_reward: -1.6615351922288373 || Final_Dis_Target:0.6915896240618149 || Continuity_Cost:19.205202162265778 || Number_of_steps:2
epoch: 28 || Train_reward: -3.3251467144810647 || Final_Dis_Target:0.7100636812294427 || Continuity_Cost:10.212703794240952 || Number_of_steps:4
epoch: 29 || Train_reward: -0.8425390769908777 || Final_Dis_Target:1.448570750447179 || Continuity_Cost:nan || Number_of_steps:1
epoch: 30 || Train_reward: -0.8435237412954807 || Final_Dis_Target:1.451958580000255 || Continuity_Cost:nan || Number_of_steps:1
epoch: 31 || Train_reward: -0.8391615174848129 || Final_Dis_Target:1.4369800069940089 || Continuity_Cost:nan || Number_of_steps:1
epoch: 32 || Train_reward: -4.1472554940148125 || Final_Dis_Target:0.8426272075273691 || Continuity_Cost:9.797574579715729 || Number_of_steps:5
epoch: 33 || Train_reward: -2.497323054615327 || Final_Dis_Target:0.94473823217847 || Continuity_Cost:4.534022510051727 || Number_of_steps:3
epoch: 34 || Train_reward: -2.504310932426394 || Final_Dis_Target:0.9538874015883589 || Continuity_Cost:8.030654489994049 || Number_of_steps:3
epoch: 35 || Train_reward: -14.982197360356075 || Final_Dis_Target:0.708940860344854 || Continuity_Cost:13.481640815734863 || Number_of_steps:18
epoch: 36 || Train_reward: -0.828251976321686 || Final_Dis_Target:1.3998598842582977 || Continuity_Cost:nan || Number_of_steps:1
epoch: 37 || Train_reward: -0.8408039624914057 || Final_Dis_Target:1.4426105567620635 || Continuity_Cost:nan || Number_of_steps:1
epoch: 38 || Train_reward: -2.4892572291923365 || Final_Dis_Target:0.9304969508915539 || Continuity_Cost:12.583625316619873 || Number_of_steps:3
epoch: 39 || Train_reward: -0.838033645658345 || Final_Dis_Target:1.4331198678816788 || Continuity_Cost:nan || Number_of_steps:1
