epoch: 0 || Test_Reward: 28.5949580545639 || Final_Distance_to_Target: 0.011154907881853153 || Continuity_Cost: 0.1935970620252192 || Episode_Timesteps: 6
epoch: 1 || Test_Reward: 28.59455433067953 || Final_Distance_to_Target: 0.01115902177428301 || Continuity_Cost: 0.19383600447326899 || Episode_Timesteps: 6
epoch: 2 || Test_Reward: 28.5943586226654 || Final_Distance_to_Target: 0.011165185625636228 || Continuity_Cost: 0.19336373079568148 || Episode_Timesteps: 6
epoch: 3 || Test_Reward: 28.594432421778617 || Final_Distance_to_Target: 0.011161503124672428 || Continuity_Cost: 0.1933986903168261 || Episode_Timesteps: 6
epoch: 4 || Test_Reward: 28.594816847018258 || Final_Distance_to_Target: 0.011157192379605373 || Continuity_Cost: 0.1934955595061183 || Episode_Timesteps: 6
epoch: 5 || Test_Reward: 28.59471953412189 || Final_Distance_to_Target: 0.011157321751028789 || Continuity_Cost: 0.1936990418471396 || Episode_Timesteps: 6
epoch: 6 || Test_Reward: 28.594111191195893 || Final_Distance_to_Target: 0.011173862281195133 || Continuity_Cost: 0.19352796953171492 || Episode_Timesteps: 6
epoch: 7 || Test_Reward: 28.5946183262075 || Final_Distance_to_Target: 0.011153584683511103 || Continuity_Cost: 0.19357649143785238 || Episode_Timesteps: 6
epoch: 8 || Test_Reward: 28.59470890146816 || Final_Distance_to_Target: 0.011150053366958847 || Continuity_Cost: 0.1936455606482923 || Episode_Timesteps: 6
epoch: 9 || Test_Reward: 28.594393211814218 || Final_Distance_to_Target: 0.011172000927364048 || Continuity_Cost: 0.1934026018716395 || Episode_Timesteps: 6
epoch: 10 || Test_Reward: 28.594758632051118 || Final_Distance_to_Target: 0.01115817075694047 || Continuity_Cost: 0.19389258231967688 || Episode_Timesteps: 6
epoch: 11 || Test_Reward: 28.59450154971618 || Final_Distance_to_Target: 0.01116905649110746 || Continuity_Cost: 0.1932788291014731 || Episode_Timesteps: 6
epoch: 12 || Test_Reward: 28.59446643972289 || Final_Distance_to_Target: 0.011157386883447718 || Continuity_Cost: 0.19367269705981016 || Episode_Timesteps: 6
epoch: 13 || Test_Reward: 28.594459390750607 || Final_Distance_to_Target: 0.01116659086670958 || Continuity_Cost: 0.19359167199581861 || Episode_Timesteps: 6
epoch: 14 || Test_Reward: 28.594253624851014 || Final_Distance_to_Target: 0.011163967082314742 || Continuity_Cost: 0.19339490681886673 || Episode_Timesteps: 6
epoch: 15 || Test_Reward: 28.594118954591607 || Final_Distance_to_Target: 0.011171204404569354 || Continuity_Cost: 0.19318275153636932 || Episode_Timesteps: 6
epoch: 16 || Test_Reward: 28.594465617485852 || Final_Distance_to_Target: 0.011159293394684834 || Continuity_Cost: 0.19317606929689646 || Episode_Timesteps: 6
epoch: 17 || Test_Reward: 28.5947299573812 || Final_Distance_to_Target: 0.011163437708976987 || Continuity_Cost: 0.19357369747012854 || Episode_Timesteps: 6
epoch: 18 || Test_Reward: 28.59457289036554 || Final_Distance_to_Target: 0.011165006432087777 || Continuity_Cost: 0.1939502195455134 || Episode_Timesteps: 6
epoch: 19 || Test_Reward: 28.59459139686852 || Final_Distance_to_Target: 0.01116392314361515 || Continuity_Cost: 0.19328596536070108 || Episode_Timesteps: 6
epoch: 20 || Test_Reward: 28.594484104862243 || Final_Distance_to_Target: 0.011160963921812015 || Continuity_Cost: 0.19328782800585032 || Episode_Timesteps: 6
epoch: 21 || Test_Reward: 28.594275225609728 || Final_Distance_to_Target: 0.011165523640986707 || Continuity_Cost: 0.19295591628178954 || Episode_Timesteps: 6
epoch: 22 || Test_Reward: 28.594794489208095 || Final_Distance_to_Target: 0.011159225013431043 || Continuity_Cost: 0.19336601253598928 || Episode_Timesteps: 6
epoch: 23 || Test_Reward: 28.594702240663644 || Final_Distance_to_Target: 0.011153346503791423 || Continuity_Cost: 0.19368125358596444 || Episode_Timesteps: 6
epoch: 24 || Test_Reward: 28.594486912166463 || Final_Distance_to_Target: 0.011161498356052145 || Continuity_Cost: 0.19305882742628455 || Episode_Timesteps: 6
epoch: 25 || Test_Reward: 28.594257118083476 || Final_Distance_to_Target: 0.011164817237973546 || Continuity_Cost: 0.19341539591550827 || Episode_Timesteps: 6
epoch: 26 || Test_Reward: 28.594492634475444 || Final_Distance_to_Target: 0.01116925438482533 || Continuity_Cost: 0.1932346960529685 || Episode_Timesteps: 6
epoch: 27 || Test_Reward: 28.5945640472843 || Final_Distance_to_Target: 0.011159052830978202 || Continuity_Cost: 0.1930530765093863 || Episode_Timesteps: 6
epoch: 28 || Test_Reward: 28.594488284268866 || Final_Distance_to_Target: 0.011160515754939492 || Continuity_Cost: 0.1933318213559687 || Episode_Timesteps: 6
epoch: 29 || Test_Reward: 28.59473945633496 || Final_Distance_to_Target: 0.011151709791775261 || Continuity_Cost: 0.19292753422632813 || Episode_Timesteps: 6
epoch: 30 || Test_Reward: 28.59470704493429 || Final_Distance_to_Target: 0.011154540707987543 || Continuity_Cost: 0.19378678407520056 || Episode_Timesteps: 6
epoch: 31 || Test_Reward: 28.59463694035115 || Final_Distance_to_Target: 0.01116662644209835 || Continuity_Cost: 0.1935544773004949 || Episode_Timesteps: 6
epoch: 32 || Test_Reward: 28.594946143096905 || Final_Distance_to_Target: 0.011149858930714771 || Continuity_Cost: 0.1938540255650878 || Episode_Timesteps: 6
epoch: 33 || Test_Reward: 28.59428291410082 || Final_Distance_to_Target: 0.011170884229484515 || Continuity_Cost: 0.19339444115757942 || Episode_Timesteps: 6
epoch: 34 || Test_Reward: 28.59453125563199 || Final_Distance_to_Target: 0.011160082825139675 || Continuity_Cost: 0.19321851432323456 || Episode_Timesteps: 6
epoch: 35 || Test_Reward: 28.594564314770384 || Final_Distance_to_Target: 0.011163847539409718 || Continuity_Cost: 0.19343651365488768 || Episode_Timesteps: 6
epoch: 36 || Test_Reward: 28.594251530157223 || Final_Distance_to_Target: 0.01116893891899349 || Continuity_Cost: 0.19347704946994781 || Episode_Timesteps: 6
epoch: 37 || Test_Reward: 28.59456151095278 || Final_Distance_to_Target: 0.011157699025186847 || Continuity_Cost: 0.19333496456965804 || Episode_Timesteps: 6
epoch: 38 || Test_Reward: 28.59470884430277 || Final_Distance_to_Target: 0.011153465937293045 || Continuity_Cost: 0.19314466044306755 || Episode_Timesteps: 6
epoch: 39 || Test_Reward: 28.594582825864904 || Final_Distance_to_Target: 0.011156308453409355 || Continuity_Cost: 0.19356884295120835 || Episode_Timesteps: 6
epoch: 40 || Test_Reward: 28.59414975735421 || Final_Distance_to_Target: 0.011167729874921456 || Continuity_Cost: 0.19387450302019715 || Episode_Timesteps: 6
epoch: 41 || Test_Reward: 28.59440524013789 || Final_Distance_to_Target: 0.011164245988626975 || Continuity_Cost: 0.19320320570841432 || Episode_Timesteps: 6
epoch: 42 || Test_Reward: 28.594561641990552 || Final_Distance_to_Target: 0.01114793312754186 || Continuity_Cost: 0.19380159210413694 || Episode_Timesteps: 6
epoch: 43 || Test_Reward: 28.594895895841496 || Final_Distance_to_Target: 0.011157576035209359 || Continuity_Cost: 0.19341001752763987 || Episode_Timesteps: 6
epoch: 44 || Test_Reward: 28.59440203457108 || Final_Distance_to_Target: 0.011164660141072877 || Continuity_Cost: 0.19382042810320854 || Episode_Timesteps: 6
epoch: 45 || Test_Reward: 28.594342525832623 || Final_Distance_to_Target: 0.01117359362309786 || Continuity_Cost: 0.19357826095074415 || Episode_Timesteps: 6
epoch: 46 || Test_Reward: 28.594953550613354 || Final_Distance_to_Target: 0.01114950337673309 || Continuity_Cost: 0.19368864595890045 || Episode_Timesteps: 6
epoch: 47 || Test_Reward: 28.594480204076415 || Final_Distance_to_Target: 0.011166831004387217 || Continuity_Cost: 0.19341313745826483 || Episode_Timesteps: 6
epoch: 48 || Test_Reward: 28.594387336213327 || Final_Distance_to_Target: 0.011170011794431953 || Continuity_Cost: 0.1937568187713623 || Episode_Timesteps: 6
epoch: 49 || Test_Reward: 28.59451557204133 || Final_Distance_to_Target: 0.011155926555872992 || Continuity_Cost: 0.19305136520415545 || Episode_Timesteps: 6
