epoch: 0 || Train_reward: -59.88265969343332 || Final_Dis_Target:0.8243035883480918 || Continuity_Cost:0.21039091212116953 || Number_of_steps:78
epoch: 1 || Train_reward: -71.2074115483133 || Final_Dis_Target:0.6298151960376914 || Continuity_Cost:0.21414056668403225 || Number_of_steps:100
epoch: 2 || Train_reward: -63.622190288835135 || Final_Dis_Target:0.442423354191869 || Continuity_Cost:0.19397823305812345 || Number_of_steps:100
epoch: 3 || Train_reward: -67.4505236249062 || Final_Dis_Target:0.46633472373226703 || Continuity_Cost:0.1974768409353107 || Number_of_steps:100
epoch: 4 || Train_reward: -60.96060517641455 || Final_Dis_Target:0.4590704945786889 || Continuity_Cost:0.21348760553763618 || Number_of_steps:100
epoch: 5 || Train_reward: -70.2330822924565 || Final_Dis_Target:0.5764787559953325 || Continuity_Cost:0.20017688477307788 || Number_of_steps:100
epoch: 6 || Train_reward: -56.599189076455716 || Final_Dis_Target:0.2761076761462429 || Continuity_Cost:0.20311756736745493 || Number_of_steps:100
epoch: 7 || Train_reward: -50.541791590533975 || Final_Dis_Target:0.23363893148853418 || Continuity_Cost:0.2120905339590392 || Number_of_steps:100
epoch: 8 || Train_reward: -62.04493655870901 || Final_Dis_Target:0.4387344433620845 || Continuity_Cost:0.2026603627547216 || Number_of_steps:100
epoch: 9 || Train_reward: -58.90661437584714 || Final_Dis_Target:0.4332563884496548 || Continuity_Cost:0.1856749061491926 || Number_of_steps:100
epoch: 10 || Train_reward: -71.63045709752079 || Final_Dis_Target:0.642693625558718 || Continuity_Cost:0.18474593126985944 || Number_of_steps:100
epoch: 11 || Train_reward: -59.68268426017118 || Final_Dis_Target:0.36938795992634604 || Continuity_Cost:0.08498819334954823 || Number_of_steps:100
epoch: 12 || Train_reward: -29.586877667098562 || Final_Dis_Target:0.08931571575222678 || Continuity_Cost:0.08037711788567928 || Number_of_steps:100
epoch: 13 || Train_reward: -31.263629097425447 || Final_Dis_Target:0.09972599779015835 || Continuity_Cost:0.0683243536438688 || Number_of_steps:100
epoch: 14 || Train_reward: -32.01450976242942 || Final_Dis_Target:0.10457390422695792 || Continuity_Cost:0.06208665778522626 || Number_of_steps:100
epoch: 15 || Train_reward: -31.3101006876773 || Final_Dis_Target:0.10002269207965317 || Continuity_Cost:0.07402902162675402 || Number_of_steps:100
epoch: 16 || Train_reward: -30.11341090446131 || Final_Dis_Target:0.09252295850434447 || Continuity_Cost:0.07085150724215049 || Number_of_steps:100
epoch: 17 || Train_reward: -30.619317290274385 || Final_Dis_Target:0.09565785035429594 || Continuity_Cost:0.10374404955560085 || Number_of_steps:100
epoch: 18 || Train_reward: -29.69719065854328 || Final_Dis_Target:0.0899829744933771 || Continuity_Cost:0.1028670844902082 || Number_of_steps:100
epoch: 19 || Train_reward: -29.75390958731093 || Final_Dis_Target:0.09032702129680711 || Continuity_Cost:0.0848439389246748 || Number_of_steps:100
epoch: 20 || Train_reward: -31.012108452314543 || Final_Dis_Target:0.09812783090073744 || Continuity_Cost:0.22126648913786529 || Number_of_steps:100
epoch: 21 || Train_reward: -29.99944116226526 || Final_Dis_Target:0.09182394348009025 || Continuity_Cost:0.34907074086785284 || Number_of_steps:100
epoch: 22 || Train_reward: -29.491310900315423 || Final_Dis_Target:0.08873966111815282 || Continuity_Cost:0.267942661713698 || Number_of_steps:100
epoch: 23 || Train_reward: -19.19477349459966 || Final_Dis_Target:0.033949680665360894 || Continuity_Cost:0.16579541347417934 || Number_of_steps:100
epoch: 24 || Train_reward: -11.472305178268337 || Final_Dis_Target:0.013034480352587313 || Continuity_Cost:0.11916402339935521 || Number_of_steps:100
