epoch: 0 || Train_reward: -10.013965666400203 || Final_Dis_Target:0.8695627472377669 || Continuity_Cost:0.28306490469029083 || Number_of_steps:13
epoch: 1 || Train_reward: -11.663099449425514 || Final_Dis_Target:0.8917993313926303 || Continuity_Cost:0.16888167479041324 || Number_of_steps:15
epoch: 2 || Train_reward: -9.528202934372809 || Final_Dis_Target:0.8738915088694217 || Continuity_Cost:0.17858281556570826 || Number_of_steps:12
epoch: 3 || Train_reward: -10.149205822771847 || Final_Dis_Target:0.8930696864822375 || Continuity_Cost:0.19208822232829398 || Number_of_steps:13
epoch: 4 || Train_reward: -9.174395538327522 || Final_Dis_Target:0.8240569776364046 || Continuity_Cost:0.2020760756786033 || Number_of_steps:12
epoch: 5 || Train_reward: -10.714681777128312 || Final_Dis_Target:0.8378838973278778 || Continuity_Cost:0.1885099640797096 || Number_of_steps:14
epoch: 6 || Train_reward: -11.343737206463274 || Final_Dis_Target:0.8419980421227097 || Continuity_Cost:0.20890708389489318 || Number_of_steps:15
epoch: 7 || Train_reward: -10.373560846452065 || Final_Dis_Target:0.9309967855672657 || Continuity_Cost:0.16472659528329042 || Number_of_steps:13
epoch: 8 || Train_reward: -9.276347958957528 || Final_Dis_Target:0.8722922613299553 || Continuity_Cost:0.16706274886817826 || Number_of_steps:12
epoch: 9 || Train_reward: -10.783066701946753 || Final_Dis_Target:0.8168779704136886 || Continuity_Cost:0.2788092138208249 || Number_of_steps:14
epoch: 10 || Train_reward: -10.448867476747111 || Final_Dis_Target:0.8011023534806353 || Continuity_Cost:0.21768416529670664 || Number_of_steps:14
epoch: 11 || Train_reward: -9.162841552889914 || Final_Dis_Target:0.8372148607282417 || Continuity_Cost:0.18018970597451237 || Number_of_steps:12
epoch: 12 || Train_reward: -10.897270390408165 || Final_Dis_Target:0.83414252064437 || Continuity_Cost:0.15495144229647315 || Number_of_steps:14
epoch: 13 || Train_reward: -8.302698204849138 || Final_Dis_Target:0.8595028565195341 || Continuity_Cost:0.0743421964319788 || Number_of_steps:11
epoch: 14 || Train_reward: -10.933358649640457 || Final_Dis_Target:0.8410219871961887 || Continuity_Cost:0.14642747356770738 || Number_of_steps:14
epoch: 15 || Train_reward: -10.359054557444946 || Final_Dis_Target:0.7846709818634721 || Continuity_Cost:0.21278038516533837 || Number_of_steps:14
epoch: 16 || Train_reward: -10.15982534194929 || Final_Dis_Target:0.8993878667124409 || Continuity_Cost:0.17502403578481454 || Number_of_steps:13
epoch: 17 || Train_reward: -10.828926989613164 || Final_Dis_Target:0.8523726289642249 || Continuity_Cost:0.21598375570387926 || Number_of_steps:14
epoch: 18 || Train_reward: -9.247608050178625 || Final_Dis_Target:0.8323629618838112 || Continuity_Cost:0.1508262781562932 || Number_of_steps:12
epoch: 19 || Train_reward: -10.155806523952636 || Final_Dis_Target:0.8844110207835238 || Continuity_Cost:0.20894422145330166 || Number_of_steps:13
epoch: 20 || Train_reward: -9.343543690533433 || Final_Dis_Target:0.8428757016770003 || Continuity_Cost:0.19819451492965987 || Number_of_steps:12
epoch: 21 || Train_reward: -10.68953755694232 || Final_Dis_Target:0.8238197663576756 || Continuity_Cost:0.1706877471942241 || Number_of_steps:14
epoch: 22 || Train_reward: -10.364783517306245 || Final_Dis_Target:0.9232515391899557 || Continuity_Cost:0.21491862421336808 || Number_of_steps:13
epoch: 23 || Train_reward: -10.774997485458709 || Final_Dis_Target:0.8432685365054364 || Continuity_Cost:0.2013760186296995 || Number_of_steps:14
epoch: 24 || Train_reward: -10.941026708281889 || Final_Dis_Target:0.8528764733750658 || Continuity_Cost:0.19820632198995647 || Number_of_steps:14
epoch: 25 || Train_reward: -11.043161668152662 || Final_Dis_Target:0.860104984896536 || Continuity_Cost:0.16038954724889481 || Number_of_steps:14
epoch: 26 || Train_reward: -11.700727698060579 || Final_Dis_Target:0.887042200712771 || Continuity_Cost:0.20154011767081667 || Number_of_steps:15
epoch: 27 || Train_reward: -9.829686629358791 || Final_Dis_Target:0.8217956031324763 || Continuity_Cost:0.1989858000607792 || Number_of_steps:13
epoch: 28 || Train_reward: -9.59351338687606 || Final_Dis_Target:0.8811363732615322 || Continuity_Cost:0.17592524734940712 || Number_of_steps:12
epoch: 29 || Train_reward: -9.299791974916475 || Final_Dis_Target:0.8573486247862313 || Continuity_Cost:0.23781838878551026 || Number_of_steps:12
epoch: 30 || Train_reward: -10.315678725126594 || Final_Dis_Target:0.9425371623053727 || Continuity_Cost:0.20604468694892505 || Number_of_steps:13
epoch: 31 || Train_reward: -10.717209590144334 || Final_Dis_Target:0.8128120623499621 || Continuity_Cost:0.182111132548271 || Number_of_steps:14
epoch: 32 || Train_reward: -11.504169446885667 || Final_Dis_Target:0.8619046263381633 || Continuity_Cost:0.21853853155077366 || Number_of_steps:15
epoch: 33 || Train_reward: -9.662956334989158 || Final_Dis_Target:0.8314608471503352 || Continuity_Cost:0.19176618289783448 || Number_of_steps:13
epoch: 34 || Train_reward: -9.91931809127606 || Final_Dis_Target:0.8929356077247234 || Continuity_Cost:0.16365366533706466 || Number_of_steps:13
epoch: 35 || Train_reward: -8.636508024127512 || Final_Dis_Target:0.9118317030803876 || Continuity_Cost:0.17526086395997617 || Number_of_steps:11
epoch: 36 || Train_reward: -9.867173981492995 || Final_Dis_Target:0.8729082036454632 || Continuity_Cost:0.1627766888330181 || Number_of_steps:13
epoch: 37 || Train_reward: -9.69065954695152 || Final_Dis_Target:0.8366896345893081 || Continuity_Cost:0.15749597055926207 || Number_of_steps:13
epoch: 38 || Train_reward: -11.525472824069336 || Final_Dis_Target:0.8751384520606087 || Continuity_Cost:0.1914235289621556 || Number_of_steps:15
epoch: 39 || Train_reward: -13.100657318259477 || Final_Dis_Target:0.869370288411956 || Continuity_Cost:0.21052265794939923 || Number_of_steps:17
epoch: 40 || Train_reward: -9.228838675191 || Final_Dis_Target:0.8268936959372907 || Continuity_Cost:0.13250497694227661 || Number_of_steps:12
epoch: 41 || Train_reward: -10.605840462225842 || Final_Dis_Target:0.8116203632995697 || Continuity_Cost:0.20755630944112852 || Number_of_steps:14
epoch: 42 || Train_reward: -9.15868733432994 || Final_Dis_Target:0.8169823038441081 || Continuity_Cost:0.16942784292158494 || Number_of_steps:12
epoch: 43 || Train_reward: -11.885725065225637 || Final_Dis_Target:0.9084659891809268 || Continuity_Cost:0.21946818803644294 || Number_of_steps:15
epoch: 44 || Train_reward: -10.785270664944223 || Final_Dis_Target:0.8304396543036251 || Continuity_Cost:0.1979534320550912 || Number_of_steps:14
epoch: 45 || Train_reward: -9.833612326191425 || Final_Dis_Target:0.8431086916084529 || Continuity_Cost:0.13357697842580626 || Number_of_steps:13
epoch: 46 || Train_reward: -10.813008826272847 || Final_Dis_Target:0.8605967321122123 || Continuity_Cost:0.260964360863954 || Number_of_steps:14
epoch: 47 || Train_reward: -8.491803731289954 || Final_Dis_Target:0.8897975867862331 || Continuity_Cost:0.1542214257754177 || Number_of_steps:11
epoch: 48 || Train_reward: -9.45078050476648 || Final_Dis_Target:0.8703102338459598 || Continuity_Cost:0.17516148950656218 || Number_of_steps:12
epoch: 49 || Train_reward: -10.667957859760094 || Final_Dis_Target:0.8206410807381684 || Continuity_Cost:0.23805532861472467 || Number_of_steps:14
epoch: 50 || Train_reward: -10.92057342423456 || Final_Dis_Target:0.8568339822001928 || Continuity_Cost:0.19957901312020837 || Number_of_steps:14
epoch: 51 || Train_reward: -11.237804461264927 || Final_Dis_Target:0.8456516300708086 || Continuity_Cost:0.2568236309110299 || Number_of_steps:15
epoch: 52 || Train_reward: -9.931312615996301 || Final_Dis_Target:0.8804923367139419 || Continuity_Cost:0.17024178807334595 || Number_of_steps:13
