epoch: 0 || Test_Reward: 29.35053522222239 || Final_Distance_to_Target: 0.007621750747882368 || Continuity_Cost: 6.292427331209183 || Episode_Timesteps: 2
epoch: 1 || Test_Reward: 29.350625276572387 || Final_Distance_to_Target: 0.007609734720872924 || Continuity_Cost: 6.293575465679169 || Episode_Timesteps: 2
epoch: 0 || Test_Reward: 29.350367990645594 || Final_Distance_to_Target: 0.007626114548157907 || Continuity_Cost: 6.29366859793663 || Episode_Timesteps: 2
epoch: 1 || Test_Reward: 29.35050073692131 || Final_Distance_to_Target: 0.007621284665327751 || Continuity_Cost: 6.294282525777817 || Episode_Timesteps: 2
epoch: 2 || Test_Reward: 29.350321452461813 || Final_Distance_to_Target: 0.007635942527198348 || Continuity_Cost: 6.292527914047241 || Episode_Timesteps: 2
epoch: 3 || Test_Reward: 29.35045724842136 || Final_Distance_to_Target: 0.007628861020381111 || Continuity_Cost: 6.294289231300354 || Episode_Timesteps: 2
epoch: 4 || Test_Reward: 29.350438107977723 || Final_Distance_to_Target: 0.007625712341739236 || Continuity_Cost: 6.292978674173355 || Episode_Timesteps: 2
epoch: 5 || Test_Reward: 29.350602199365294 || Final_Distance_to_Target: 0.0076153812370854165 || Continuity_Cost: 6.292804330587387 || Episode_Timesteps: 2
epoch: 6 || Test_Reward: 29.350628097227784 || Final_Distance_to_Target: 0.0076108071418569965 || Continuity_Cost: 6.294403970241547 || Episode_Timesteps: 2
epoch: 7 || Test_Reward: 29.350459249173134 || Final_Distance_to_Target: 0.007623368658388086 || Continuity_Cost: 6.292461603879929 || Episode_Timesteps: 2
epoch: 8 || Test_Reward: 29.350520703921017 || Final_Distance_to_Target: 0.007627266660155835 || Continuity_Cost: 6.29245862364769 || Episode_Timesteps: 2
epoch: 9 || Test_Reward: 29.350370408342222 || Final_Distance_to_Target: 0.007628821150487164 || Continuity_Cost: 6.294046342372894 || Episode_Timesteps: 2
epoch: 10 || Test_Reward: 29.350595800257114 || Final_Distance_to_Target: 0.0076209951977619485 || Continuity_Cost: 6.293228268623352 || Episode_Timesteps: 2
